TimeSeries ID,instance/disk/write_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.resource.type="gce_instance" AND resource.label."project_id"="fcse-25w-cc" AND metric.type="compute.googleapis.com/instance/disk/write_bytes_count" AND metadata.system_labels."instance_group"="pow-worker-mig" AND resource.label."zone" = starts_with("europe-west1-b").project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 17:30:00 GMT+0200 (Central European Summer Time),17675.1
Tue Jun 09 2026 17:31:00 GMT+0200 (Central European Summer Time),869522.2666666666
Tue Jun 09 2026 17:32:00 GMT+0200 (Central European Summer Time),1966021.6666666667
Tue Jun 09 2026 17:33:00 GMT+0200 (Central European Summer Time),93704.38333333333
Tue Jun 09 2026 17:34:00 GMT+0200 (Central European Summer Time),3456.516666666667
Tue Jun 09 2026 17:35:00 GMT+0200 (Central European Summer Time),2908.7
Tue Jun 09 2026 17:36:00 GMT+0200 (Central European Summer Time),2869.8
Tue Jun 09 2026 17:37:00 GMT+0200 (Central European Summer Time),1100231.5833333333
Tue Jun 09 2026 17:38:00 GMT+0200 (Central European Summer Time),352094.2
Tue Jun 09 2026 17:39:00 GMT+0200 (Central European Summer Time),243459.5833333333
Tue Jun 09 2026 17:40:00 GMT+0200 (Central European Summer Time),6668028.65
Tue Jun 09 2026 17:41:00 GMT+0200 (Central European Summer Time),22612834.483333334
Tue Jun 09 2026 17:42:00 GMT+0200 (Central European Summer Time),4316437
Tue Jun 09 2026 17:43:00 GMT+0200 (Central European Summer Time),1242149.3666666667
Tue Jun 09 2026 17:44:00 GMT+0200 (Central European Summer Time),408400.13333333336
Tue Jun 09 2026 17:45:00 GMT+0200 (Central European Summer Time),2482820.0166666666
Tue Jun 09 2026 17:46:00 GMT+0200 (Central European Summer Time),11526185.466666665
Tue Jun 09 2026 17:47:00 GMT+0200 (Central European Summer Time),12889734.766666666
Tue Jun 09 2026 17:48:00 GMT+0200 (Central European Summer Time),18109498.78333333
Tue Jun 09 2026 17:49:00 GMT+0200 (Central European Summer Time),7393780.866666666
Tue Jun 09 2026 17:50:00 GMT+0200 (Central European Summer Time),4048607.866666666
Tue Jun 09 2026 17:51:00 GMT+0200 (Central European Summer Time),3014071.283333333
Tue Jun 09 2026 17:52:00 GMT+0200 (Central European Summer Time),34521.03333333333
Tue Jun 09 2026 17:53:00 GMT+0200 (Central European Summer Time),25877.6
Tue Jun 09 2026 17:54:00 GMT+0200 (Central European Summer Time),25219.550000000003
Tue Jun 09 2026 17:55:00 GMT+0200 (Central European Summer Time),1115214.0833333335
Tue Jun 09 2026 17:56:00 GMT+0200 (Central European Summer Time),393272.85
Tue Jun 09 2026 17:57:00 GMT+0200 (Central European Summer Time),2447920.7
Tue Jun 09 2026 17:58:00 GMT+0200 (Central European Summer Time),1957790.816666667
Tue Jun 09 2026 17:59:00 GMT+0200 (Central European Summer Time),241197.68333333332
Tue Jun 09 2026 18:00:00 GMT+0200 (Central European Summer Time),1655975.7000000002
Tue Jun 09 2026 18:01:00 GMT+0200 (Central European Summer Time),1091734.3333333333
Tue Jun 09 2026 18:02:00 GMT+0200 (Central European Summer Time),41346.5
Tue Jun 09 2026 18:03:00 GMT+0200 (Central European Summer Time),30261.6
Tue Jun 09 2026 18:04:00 GMT+0200 (Central European Summer Time),30088.566666666662
Tue Jun 09 2026 18:05:00 GMT+0200 (Central European Summer Time),1115022.9833333332
Tue Jun 09 2026 18:06:00 GMT+0200 (Central European Summer Time),397649.7666666667
Tue Jun 09 2026 18:07:00 GMT+0200 (Central European Summer Time),2442290.0500000003
Tue Jun 09 2026 18:08:00 GMT+0200 (Central European Summer Time),1956671.3166666664
Tue Jun 09 2026 18:09:00 GMT+0200 (Central European Summer Time),251616.25
Tue Jun 09 2026 18:10:00 GMT+0200 (Central European Summer Time),1661386.6500000001
Tue Jun 09 2026 18:11:00 GMT+0200 (Central European Summer Time),1077356.6166666667
Tue Jun 09 2026 18:12:00 GMT+0200 (Central European Summer Time),17924.466666666667
Tue Jun 09 2026 18:13:00 GMT+0200 (Central European Summer Time),17657.216666666667
Tue Jun 09 2026 18:14:00 GMT+0200 (Central European Summer Time),17691.416666666668
Tue Jun 09 2026 18:15:00 GMT+0200 (Central European Summer Time),1097335.7000000002
Tue Jun 09 2026 18:16:00 GMT+0200 (Central European Summer Time),382454.6666666667
