TimeSeries ID,configured_min_size.autoscaler.ALIGN_NEXT_OLDER.REDUCE_SUM.resource.type="autoscaler" AND resource.label."project_id"="fcse-25w-cc" AND resource.label."instance_group_manager_id"="951574428641824008" AND metric.type="autoscaler.googleapis.com/configured_min_size".project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 17:30:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:31:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:32:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:33:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:34:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:35:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:36:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:37:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:38:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:39:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:40:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:41:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:42:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:43:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:44:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:45:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:46:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:47:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:48:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:49:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:50:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:51:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:52:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:53:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:54:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:55:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:56:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:57:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:58:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 17:59:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:00:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:01:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:02:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:03:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:04:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:05:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:06:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:07:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:08:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:09:00 GMT+0200 (Central European Summer Time),1
Tue Jun 09 2026 18:10:00 GMT+0200 (Central European Summer Time),1
