TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.resource.type="gce_instance" AND resource.label."project_id"="fcse-25w-cc" AND metric.type="compute.googleapis.com/instance/network/received_bytes_count" AND metadata.system_labels."instance_group"="pow-worker-mig" AND resource.label."zone" = starts_with("europe-west1-b").project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 17:30:00 GMT+0200 (Central European Summer Time),6819.55
Tue Jun 09 2026 17:31:00 GMT+0200 (Central European Summer Time),7219.983333333333
Tue Jun 09 2026 17:32:00 GMT+0200 (Central European Summer Time),6160.866666666667
Tue Jun 09 2026 17:33:00 GMT+0200 (Central European Summer Time),2763.883333333333
Tue Jun 09 2026 17:34:00 GMT+0200 (Central European Summer Time),1132.8166666666666
Tue Jun 09 2026 17:35:00 GMT+0200 (Central European Summer Time),1131.2166666666667
Tue Jun 09 2026 17:36:00 GMT+0200 (Central European Summer Time),1361.65
Tue Jun 09 2026 17:37:00 GMT+0200 (Central European Summer Time),4399.683333333333
Tue Jun 09 2026 17:38:00 GMT+0200 (Central European Summer Time),13152.566666666668
Tue Jun 09 2026 17:39:00 GMT+0200 (Central European Summer Time),239382.55
Tue Jun 09 2026 17:40:00 GMT+0200 (Central European Summer Time),2430069.4
Tue Jun 09 2026 17:41:00 GMT+0200 (Central European Summer Time),3200690.1833333336
Tue Jun 09 2026 17:42:00 GMT+0200 (Central European Summer Time),19588.883333333335
Tue Jun 09 2026 17:43:00 GMT+0200 (Central European Summer Time),9669.266666666666
Tue Jun 09 2026 17:44:00 GMT+0200 (Central European Summer Time),39234.4
Tue Jun 09 2026 17:45:00 GMT+0200 (Central European Summer Time),1303918.0666666667
Tue Jun 09 2026 17:46:00 GMT+0200 (Central European Summer Time),1352849.45
Tue Jun 09 2026 17:47:00 GMT+0200 (Central European Summer Time),2391963
Tue Jun 09 2026 17:48:00 GMT+0200 (Central European Summer Time),3193075.2166666663
Tue Jun 09 2026 17:49:00 GMT+0200 (Central European Summer Time),641957.7666666666
Tue Jun 09 2026 17:50:00 GMT+0200 (Central European Summer Time),33172.100000000006
Tue Jun 09 2026 17:51:00 GMT+0200 (Central European Summer Time),35033.166666666664
Tue Jun 09 2026 17:52:00 GMT+0200 (Central European Summer Time),62123.01666666667
Tue Jun 09 2026 17:53:00 GMT+0200 (Central European Summer Time),25322.333333333336
Tue Jun 09 2026 17:54:00 GMT+0200 (Central European Summer Time),56797.416666666664
Tue Jun 09 2026 17:55:00 GMT+0200 (Central European Summer Time),67734.56666666667
Tue Jun 09 2026 17:56:00 GMT+0200 (Central European Summer Time),31762.13333333333
Tue Jun 09 2026 17:57:00 GMT+0200 (Central European Summer Time),87742.91666666667
Tue Jun 09 2026 17:58:00 GMT+0200 (Central European Summer Time),85991.36666666667
Tue Jun 09 2026 17:59:00 GMT+0200 (Central European Summer Time),30371.283333333336
Tue Jun 09 2026 18:00:00 GMT+0200 (Central European Summer Time),64408.96666666666
Tue Jun 09 2026 18:01:00 GMT+0200 (Central European Summer Time),102297.13333333333
Tue Jun 09 2026 18:02:00 GMT+0200 (Central European Summer Time),71291.88333333333
Tue Jun 09 2026 18:03:00 GMT+0200 (Central European Summer Time),32808.3
Tue Jun 09 2026 18:04:00 GMT+0200 (Central European Summer Time),85273.84999999999
Tue Jun 09 2026 18:05:00 GMT+0200 (Central European Summer Time),105892.79999999999
Tue Jun 09 2026 18:06:00 GMT+0200 (Central European Summer Time),74083.65000000001
Tue Jun 09 2026 18:07:00 GMT+0200 (Central European Summer Time),38127.65
Tue Jun 09 2026 18:08:00 GMT+0200 (Central European Summer Time),90178.66666666667
Tue Jun 09 2026 18:09:00 GMT+0200 (Central European Summer Time),108164.34999999999
Tue Jun 09 2026 18:10:00 GMT+0200 (Central European Summer Time),86583.35
Tue Jun 09 2026 18:11:00 GMT+0200 (Central European Summer Time),19505.233333333334
Tue Jun 09 2026 18:12:00 GMT+0200 (Central European Summer Time),6845.116666666668
Tue Jun 09 2026 18:13:00 GMT+0200 (Central European Summer Time),6827.25
Tue Jun 09 2026 18:14:00 GMT+0200 (Central European Summer Time),6785.416666666666
Tue Jun 09 2026 18:15:00 GMT+0200 (Central European Summer Time),7152.833333333334
Tue Jun 09 2026 18:16:00 GMT+0200 (Central European Summer Time),6925.75
Tue Jun 09 2026 18:17:00 GMT+0200 (Central European Summer Time),7713.566666666667
Tue Jun 09 2026 18:18:00 GMT+0200 (Central European Summer Time),7501.883333333333
Tue Jun 09 2026 18:19:00 GMT+0200 (Central European Summer Time),6879.900000000001
Tue Jun 09 2026 18:20:00 GMT+0200 (Central European Summer Time),7469.883333333333
Tue Jun 09 2026 18:21:00 GMT+0200 (Central European Summer Time),7351.583333333333
Tue Jun 09 2026 18:22:00 GMT+0200 (Central European Summer Time),6761.066666666666
Tue Jun 09 2026 18:23:00 GMT+0200 (Central European Summer Time),6805.3
Tue Jun 09 2026 18:24:00 GMT+0200 (Central European Summer Time),6822.566666666666
Tue Jun 09 2026 18:25:00 GMT+0200 (Central European Summer Time),7235.066666666667
Tue Jun 09 2026 18:26:00 GMT+0200 (Central European Summer Time),6234.549999999999
Tue Jun 09 2026 18:27:00 GMT+0200 (Central European Summer Time),3865.7166666666662
Tue Jun 09 2026 18:28:00 GMT+0200 (Central European Summer Time),1142.8833333333334
Tue Jun 09 2026 18:29:00 GMT+0200 (Central European Summer Time),1161.9166666666667
Tue Jun 09 2026 18:30:00 GMT+0200 (Central European Summer Time),1316.2
Tue Jun 09 2026 18:31:00 GMT+0200 (Central European Summer Time),1571.65
Tue Jun 09 2026 18:32:00 GMT+0200 (Central European Summer Time),1137.7166666666667
Tue Jun 09 2026 18:33:00 GMT+0200 (Central European Summer Time),1129.3666666666666
Tue Jun 09 2026 18:34:00 GMT+0200 (Central European Summer Time),1128.1
Tue Jun 09 2026 18:35:00 GMT+0200 (Central European Summer Time),1123.1
Tue Jun 09 2026 18:36:00 GMT+0200 (Central European Summer Time),1128.2833333333333
Tue Jun 09 2026 18:37:00 GMT+0200 (Central European Summer Time),1141.4166666666667
Tue Jun 09 2026 18:38:00 GMT+0200 (Central European Summer Time),1146.3333333333333
Tue Jun 09 2026 18:39:00 GMT+0200 (Central European Summer Time),1145.0166666666667
Tue Jun 09 2026 18:40:00 GMT+0200 (Central European Summer Time),1433.85
Tue Jun 09 2026 18:41:00 GMT+0200 (Central European Summer Time),1968.9
Tue Jun 09 2026 18:42:00 GMT+0200 (Central European Summer Time),1311.1833333333334
Tue Jun 09 2026 18:43:00 GMT+0200 (Central European Summer Time),1329.65
Tue Jun 09 2026 18:44:00 GMT+0200 (Central European Summer Time),1134.1166666666666
Tue Jun 09 2026 18:45:00 GMT+0200 (Central European Summer Time),1176.9
Tue Jun 09 2026 18:46:00 GMT+0200 (Central European Summer Time),1231.25
Tue Jun 09 2026 18:47:00 GMT+0200 (Central European Summer Time),1136.8666666666666
Tue Jun 09 2026 18:48:00 GMT+0200 (Central European Summer Time),1139.05
Tue Jun 09 2026 18:49:00 GMT+0200 (Central European Summer Time),1137.7333333333333
Tue Jun 09 2026 18:50:00 GMT+0200 (Central European Summer Time),1278.1666666666667
Tue Jun 09 2026 18:51:00 GMT+0200 (Central European Summer Time),1552.7166666666667
Tue Jun 09 2026 18:52:00 GMT+0200 (Central European Summer Time),1210.0333333333333
Tue Jun 09 2026 18:53:00 GMT+0200 (Central European Summer Time),1142.4833333333333
Tue Jun 09 2026 18:54:00 GMT+0200 (Central European Summer Time),1151.0833333333333
Tue Jun 09 2026 18:55:00 GMT+0200 (Central European Summer Time),1143.75
Tue Jun 09 2026 18:56:00 GMT+0200 (Central European Summer Time),1133.2166666666667
Tue Jun 09 2026 18:57:00 GMT+0200 (Central European Summer Time),1132.5666666666666
