TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.resource.type="gce_instance" AND resource.label."project_id"="fcse-25w-cc" AND metric.type="compute.googleapis.com/instance/network/sent_bytes_count" AND metadata.system_labels."instance_group"="pow-worker-mig" AND resource.label."zone" = starts_with("europe-west1-b").project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 17:30:00 GMT+0200 (Central European Summer Time),6959.016666666667
Tue Jun 09 2026 17:31:00 GMT+0200 (Central European Summer Time),7196.150000000001
Tue Jun 09 2026 17:32:00 GMT+0200 (Central European Summer Time),5930.633333333332
Tue Jun 09 2026 17:33:00 GMT+0200 (Central European Summer Time),2807.7000000000003
Tue Jun 09 2026 17:34:00 GMT+0200 (Central European Summer Time),1148.6333333333334
Tue Jun 09 2026 17:35:00 GMT+0200 (Central European Summer Time),1146.8166666666666
Tue Jun 09 2026 17:36:00 GMT+0200 (Central European Summer Time),1319
Tue Jun 09 2026 17:37:00 GMT+0200 (Central European Summer Time),3502.266666666667
Tue Jun 09 2026 17:38:00 GMT+0200 (Central European Summer Time),9923.966666666667
Tue Jun 09 2026 17:39:00 GMT+0200 (Central European Summer Time),19137.7
Tue Jun 09 2026 17:40:00 GMT+0200 (Central European Summer Time),15117.849999999999
Tue Jun 09 2026 17:41:00 GMT+0200 (Central European Summer Time),30294.516666666666
Tue Jun 09 2026 17:42:00 GMT+0200 (Central European Summer Time),17122.016666666666
Tue Jun 09 2026 17:43:00 GMT+0200 (Central European Summer Time),9975.683333333332
Tue Jun 09 2026 17:44:00 GMT+0200 (Central European Summer Time),32531.4
Tue Jun 09 2026 17:45:00 GMT+0200 (Central European Summer Time),21773.11666666667
Tue Jun 09 2026 17:46:00 GMT+0200 (Central European Summer Time),28515.733333333337
Tue Jun 09 2026 17:47:00 GMT+0200 (Central European Summer Time),57535.33333333333
Tue Jun 09 2026 17:48:00 GMT+0200 (Central European Summer Time),27524.016666666666
Tue Jun 09 2026 17:49:00 GMT+0200 (Central European Summer Time),37394.16666666667
Tue Jun 09 2026 17:50:00 GMT+0200 (Central European Summer Time),30503.466666666664
Tue Jun 09 2026 17:51:00 GMT+0200 (Central European Summer Time),31723.966666666667
Tue Jun 09 2026 17:52:00 GMT+0200 (Central European Summer Time),51884.88333333333
Tue Jun 09 2026 17:53:00 GMT+0200 (Central European Summer Time),22598.833333333332
Tue Jun 09 2026 17:54:00 GMT+0200 (Central European Summer Time),47102.433333333334
Tue Jun 09 2026 17:55:00 GMT+0200 (Central European Summer Time),56014.73333333334
Tue Jun 09 2026 17:56:00 GMT+0200 (Central European Summer Time),27585.88333333333
Tue Jun 09 2026 17:57:00 GMT+0200 (Central European Summer Time),72200.93333333333
Tue Jun 09 2026 17:58:00 GMT+0200 (Central European Summer Time),71098.7
Tue Jun 09 2026 17:59:00 GMT+0200 (Central European Summer Time),26402.600000000002
Tue Jun 09 2026 18:00:00 GMT+0200 (Central European Summer Time),53578.09999999999
