experiment_id,run_label,target_rps,jobs_submitted,jobs_completed,jobs_failed,jobs_timed_out,success_rate,failed_rate,first_submission_time,last_submission_time,first_completion_time,last_completion_time,submission_duration_seconds,completion_makespan_seconds,completed_throughput_rps,avg_enqueue_time_ms,p50_enqueue_time_ms,p95_enqueue_time_ms,avg_client_end_to_end_time_ms,p50_client_end_to_end_time_ms,p95_client_end_to_end_time_ms,avg_execution_time_ms,p50_execution_time_ms,p95_execution_time_ms,avg_server_end_to_end_time_ms,p50_server_end_to_end_time_ms,p95_server_end_to_end_time_ms,min_vm_count_observed,max_vm_count_observed,avg_vm_count_observed,worker_count_per_vm
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,1,1,1,0,0,1.0,0.0,2026-06-09T15:35:34.082393Z,2026-06-09T15:35:34.082393Z,2026-06-09T15:35:35.507392Z,2026-06-09T15:35:35.507392Z,1.0,1.425,0.702,141.0,141.0,141.0,1424.999,1424.999,1424.999,658.0,658.0,658.0,1209.0,1209.0,1209.0,,,,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,10,10,10,0,0,1.0,0.0,2026-06-09T15:36:35.856312Z,2026-06-09T15:36:36.756314Z,2026-06-09T15:36:38.227220Z,2026-06-09T15:36:54.439216Z,1.0,18.583,0.538,142.1,132.5,180.25,12134.468,11837.335,17742.204,3192.1,2599.5,6568.6,11600.9,11323.0,17131.45,1,1,1.0,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,50,50,50,0,0,1.0,0.0,2026-06-09T15:37:54.752968Z,2026-06-09T15:37:55.736970Z,2026-06-09T15:37:57.237941Z,2026-06-09T15:39:37.932436Z,1.004,103.179,0.485,136.56,125.0,172.0,46309.764,40926.082,97362.685,3720.9,2634.5,9685.55,45594.14,40456.0,96716.55,1,2,1.462,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,100,100,100,0,0,1.0,0.0,2026-06-09T15:40:38.260429Z,2026-06-09T15:40:39.249437Z,2026-06-09T15:40:40.427433Z,2026-06-09T15:41:52.549100Z,0.999,74.289,1.346,243.99,227.0,391.75,28888.652,28455.556,49959.43,2073.48,1093.5,8082.0,24657.63,25253.5,42211.6,3,3,3.0,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,200,200,199,1,0,0.995,0.005,2026-06-09T15:42:52.855702Z,2026-06-09T15:42:53.900925Z,2026-06-09T15:43:24.030176Z,2026-06-09T15:44:20.040271Z,1.05,87.185,2.283,789.85,429.5,1687.0,47991.017,42806.263,78026.056,2157.719,1198.0,7246.2,41601.246,42022.0,74967.5,3,4,3.091,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,300,300,297,3,0,0.99,0.01,2026-06-09T15:45:20.384598Z,2026-06-09T15:45:21.453545Z,2026-06-09T15:45:51.838059Z,2026-06-09T15:47:00.400409Z,1.072,100.016,2.97,848.277,344.0,1985.75,56218.492,52840.533,94390.325,2115.431,1313.0,5915.4,50614.848,51374.0,91475.6,4,6,4.667,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,400,400,399,1,0,0.998,0.003,2026-06-09T15:48:00.791293Z,2026-06-09T15:48:02.264726Z,2026-06-09T15:48:37.796631Z,2026-06-09T15:49:23.944431Z,1.476,83.153,4.798,3742.757,4226.5,6750.0,46104.558,37611.907,69625.089,1802.404,1103.0,6644.3,32037.561,30790.0,62502.7,6,6,6.0,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,500,500,499,1,0,0.998,0.002,2026-06-09T15:50:24.373115Z,2026-06-09T15:50:26.443366Z,2026-06-09T15:50:57.833743Z,2026-06-09T15:51:55.645152Z,2.072,91.272,5.467,5270.378,5617.0,9394.7,51346.782,47300.506,82654.533,1720.361,1107.0,4974.8,38898.774,37767.0,73137.8,6,6,6.0,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,600,600,599,1,0,0.998,0.002,2026-06-09T15:52:56.093691Z,2026-06-09T15:52:58.443829Z,2026-06-09T15:53:35.600999Z,2026-06-09T15:54:48.615391Z,2.352,112.522,5.323,6084.062,6578.0,10142.55,61094.805,54642.84,99931.246,1742.1,1110.0,5254.7,45810.124,43622.0,89241.9,6,6,6.0,2
83a8e925-de71-41b2-9341-b8e1590af6d5,duration-workload-20260609T153533529553Z,700,700,700,0,0,1.0,0.0,2026-06-09T15:55:49.106828Z,2026-06-09T15:55:51.735677Z,2026-06-09T15:56:04.751985Z,2026-06-09T15:58:02.914241Z,2.63,133.807,5.231,7684.559,8312.5,12781.8,68166.724,68616.55,121348.85,1811.089,1259.0,5561.4,56109.456,56377.5,108074.3,6,6,6.0,2
